seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
0,2377,5,"[-1.2522355318069458, -1.505873203277588]","[-0.7406343221664429, -0.9942718744277954]","[-0.22903303802013397, -0.4826705753803253]","[-0.5116012096405029, -0.5116013288497925]","[0.5116012692451477, 0.5116013288497925]",1,0
0,990,1,"[-0.49487394094467163, -0.4026890695095062]","[0.32449930906295776, 0.41668418049812317]","[1.143872618675232, 1.2360574007034302]","[-0.8193732500076294, -0.8193732500076294]","[0.8193733096122742, 0.8193732500076294]",1,0
0,990,3,"[-2.0096395015716553, -2.051239252090454]","[0.32762280106544495, 0.28602302074432373]","[2.6648850440979004, 2.6232852935791016]","[-2.3372623920440674, -2.3372621536254883]","[2.3372621536254883, 2.3372621536254883]",1,0
0,990,5,"[-0.15644173324108124, -0.31058329343795776]","[0.3551596403121948, 0.20101803541183472]","[0.8667609691619873, 0.712619423866272]","[-0.5116013884544373, -0.5116013288497925]","[0.5116013288497925, 0.5116013884544373]",1,0
0,1724,1,"[0.7150140404701233, 0.632368266582489]","[-0.1043592020869255, -0.18700499832630157]","[-0.9237324595451355, -1.0063782930374146]","[0.8193732500076294, 0.8193732500076294]","[-0.8193732500076294, -0.8193733096122742]",-1,1
0,1724,3,"[2.2778401374816895, 2.078455686569214]","[-0.05942200496792793, -0.2588064670562744]","[-2.396684169769287, -2.596068859100342]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372623920440674]",-1,1
0,1724,5,"[0.5174528956413269, 0.2209106683731079]","[0.005851695314049721, -0.2906905710697174]","[-0.5057495832443237, -0.8022920489311218]","[0.5116012096405029, 0.5116012096405029]","[-0.5116012692451477, -0.511601448059082]",-1,1
0,2197,1,"[-1.497421145439148, -1.4191248416900635]","[-2.3167943954467773, -2.2384979724884033]","[-3.136167526245117, -3.0578713417053223]","[0.8193732500076294, 0.8193731307983398]","[-0.8193731307983398, -0.819373369216919]",-1,1
0,2197,3,"[0.28111743927001953, 0.2269832193851471]","[-2.0561447143554688, -2.110279083251953]","[-4.393406867980957, -4.447541236877441]","[2.3372621536254883, 2.3372623920440674]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,2197,5,"[-1.2845892906188965, -1.4500432014465332]","[-1.7961905002593994, -1.9616445302963257]","[-2.3077919483184814, -2.473245859146118]","[0.5116012096405029, 0.5116013288497925]","[-0.511601448059082, -0.5116013288497925]",-1,1
