seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
3,2851,3,"[-2.4331564903259277, -2.3052358627319336]","[-0.4783574938774109, -0.3504367470741272]","[1.4764416217803955, 1.6043622493743896]","[-1.954798936843872, -1.9547991752624512]","[1.9547991752624512, 1.954798936843872]",1,0
3,2851,5,"[-3.475818157196045, -3.4046854972839355]","[-0.4376443922519684, -0.3665117025375366]","[2.600529193878174, 2.6716620922088623]","[-3.0381736755371094, -3.0381736755371094]","[3.0381736755371094, 3.0381736755371094]",1,0
3,528,1,"[-0.007292733062058687, -0.15869759023189545]","[0.6927072405815125, 0.5413023829460144]","[1.3927072286605835, 1.2413023710250854]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,0
3,528,3,"[-1.3742517232894897, -1.4441763162612915]","[0.5805472731590271, 0.5106227397918701]","[2.535346269607544, 2.465421676635742]","[-1.954798936843872, -1.9547990560531616]","[1.954798936843872, 1.954798936843872]",1,0
3,528,5,"[-2.5615756511688232, -2.661259651184082]","[0.4765981137752533, 0.3769141435623169]","[3.5147719383239746, 3.415087938308716]","[-3.0381736755371094, -3.0381736755371094]","[3.0381739139556885, 3.0381736755371094]",1,0
3,740,1,"[-0.8339744210243225, -0.9749954342842102]","[-0.13397441804409027, -0.27499544620513916]","[0.5660255551338196, 0.4250045418739319]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,0
3,740,3,"[-2.087996244430542, -2.1489555835723877]","[-0.13319726288318634, -0.19415657222270966]","[1.8216017484664917, 1.7606425285339355]","[-1.954798936843872, -1.9547990560531616]","[1.9547990560531616, 1.9547990560531616]",1,0
3,740,5,"[-3.177811861038208, -3.2697556018829346]","[-0.13963823020458221, -0.23158174753189087]","[2.8985354900360107, 2.8065922260284424]","[-3.0381736755371094, -3.0381739139556885]","[3.0381736755371094, 3.0381739139556885]",1,0
3,1075,1,"[0.13412360846996307, 0.1615009903907776]","[-0.5658763647079468, -0.5384989976882935]","[-1.2658764123916626, -1.2384990453720093]","[0.699999988079071, 0.699999988079071]","[-0.7000000476837158, -0.7000000476837158]",-1,1
3,1075,3,"[1.4487041234970093, 1.5331374406814575]","[-0.5060949325561523, -0.4216615855693817]","[-2.4608941078186035, -2.3764607906341553]","[1.9547990560531616, 1.9547990560531616]","[-1.9547991752624512, -1.9547991752624512]",-1,1
3,1075,5,"[2.5765814781188965, 2.6101675033569336]","[-0.46159249544143677, -0.4280061721801758]","[-3.4997663497924805, -3.4661800861358643]","[3.0381739139556885, 3.0381736755371094]","[-3.0381739139556885, -3.0381739139556885]",-1,1
3,2217,1,"[-1.2114877700805664, -1.1704285144805908]","[-0.5114877820014954, -0.4704284965991974]","[0.18851222097873688, 0.22957149147987366]","[-0.699999988079071, -0.7000000476837158]","[0.699999988079071, 0.699999988079071]",1,0
3,2217,3,"[-2.413935661315918, -2.3176896572113037]","[-0.45913663506507874, -0.3628905415534973]","[1.4956624507904053, 1.5919084548950195]","[-1.9547990560531616, -1.9547991752624512]","[1.9547990560531616, 1.954798936843872]",1,0
3,2217,5,"[-3.4592232704162598, -3.415437936782837]","[-0.42104941606521606, -0.377264142036438]","[2.617124319076538, 2.660909652709961]","[-3.0381739139556885, -3.0381736755371094]","[3.0381736755371094, 3.0381736755371094]",1,0
3,542,1,"[0.4160640239715576, 0.34423819184303284]","[-0.2839359641075134, -0.3557617962360382]","[-0.9839359521865845, -1.0557618141174316]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.7000000476837158]",-1,1
3,542,3,"[1.6921273469924927, 1.6909101009368896]","[-0.2626718282699585, -0.26388904452323914]","[-2.21747088432312, -2.2186880111694336]","[1.9547991752624512, 1.9547991752624512]","[-1.9547990560531616, -1.954798936843872]",-1,1
3,542,5,"[2.7867491245269775, 2.7463860511779785]","[-0.251424640417099, -0.2917877435684204]","[-3.2895984649658203, -3.3299615383148193]","[3.0381736755371094, 3.0381736755371094]","[-3.0381739139556885, -3.0381736755371094]",-1,1
3,2365,1,"[1.1738030910491943, 1.2700053453445435]","[0.4738031327724457, 0.5700053572654724]","[-0.22619687020778656, -0.12999463081359863]","[0.6999999284744263, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,1
3,2365,3,"[2.3463478088378906, 2.490203380584717]","[0.391548752784729, 0.5354044437408447]","[-1.5632503032684326, -1.419394612312317]","[1.9547990560531616, 1.954798936843872]","[-1.9547990560531616, -1.9547990560531616]",-1,1
3,2365,5,"[3.351593494415283, 3.436483860015869]","[0.3134196102619171, 0.3983103036880493]","[-2.7247543334960938, -2.6398634910583496]","[3.0381739139556885, 3.0381736755371094]","[-3.0381739139556885, -3.0381736755371094]",-1,1
3,36,1,"[-1.7293504476547241, -1.9659974575042725]","[-1.0293505191802979, -1.2659975290298462]","[-0.32935047149658203, -0.5659975409507751]","[-0.6999999284744263, -0.6999999284744263]","[0.7000000476837158, 0.699999988079071]",1,0
3,36,3,"[-2.861050605773926, -3.0045719146728516]","[-0.9062515497207642, -1.04977285861969]","[1.0485475063323975, 0.9050261378288269]","[-1.9547990560531616, -1.9547990560531616]","[1.9547990560531616, 1.954798936843872]",1,0
3,36,5,"[-3.8452553749084473, -4.008481502532959]","[-0.8070817589759827, -0.9703080058097839]","[2.2310919761657715, 2.0678656101226807]","[-3.0381736755371094, -3.0381734371185303]","[3.0381736755371094, 3.0381736755371094]",1,0
3,434,1,"[-1.0690686702728271, -0.8334670066833496]","[-1.769068717956543, -1.5334670543670654]","[-2.469068765640259, -2.2334671020507812]","[0.7000000476837158, 0.7000000476837158]","[-0.7000000476837158, -0.7000000476837158]",-1,1
3,434,3,"[0.409885972738266, 0.6740970015525818]","[-1.5449131727218628, -1.2807021141052246]","[-3.4997122287750244, -3.235501289367676]","[1.9547991752624512, 1.9547991752624512]","[-1.9547990560531616, -1.9547991752624512]",-1,1
3,434,5,"[1.6796811819076538, 1.8684849739074707]","[-1.3584924936294556, -1.1696889400482178]","[-4.396666049957275, -4.207862854003906]","[3.0381736755371094, 3.0381739139556885]","[-3.0381736755371094, -3.0381739139556885]",-1,1
3,2177,1,"[-0.9783331751823425, -0.9610115885734558]","[-1.6783331632614136, -1.6610115766525269]","[-2.37833309173584, -2.361011505126953]","[0.699999988079071, 0.699999988079071]","[-0.6999999284744263, -0.6999999284744263]",-1,1
3,2177,3,"[0.4882256090641022, 0.5639769434928894]","[-1.4665734767913818, -1.390822172164917]","[-3.421372413635254, -3.345621109008789]","[1.9547990560531616, 1.9547991752624512]","[-1.954798936843872, -1.954798936843872]",-1,1
3,2177,5,"[1.7473185062408447, 1.7734090089797974]","[-1.2908552885055542, -1.2647649049758911]","[-4.329029083251953, -4.302938461303711]","[3.0381736755371094, 3.0381739139556885]","[-3.0381736755371094, -3.0381736755371094]",-1,1
