seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
9,1237,3,"[-0.9104970693588257, -0.944871187210083]","[-1.610496997833252, -1.6448711156845093]","[-2.3104970455169678, -2.3448710441589355]","[0.6999999284744263, 0.6999999284744263]","[-0.7000000476837158, -0.6999999284744263]",-1,0
9,1237,5,"[-0.9104970693588257, -0.944871187210083]","[-1.610496997833252, -1.6448711156845093]","[-2.3104970455169678, -2.3448710441589355]","[0.6999999284744263, 0.6999999284744263]","[-0.7000000476837158, -0.6999999284744263]",-1,0
9,2669,1,"[0.3729414939880371, 0.23404885828495026]","[-0.32705849409103394, -0.465951144695282]","[-1.027058482170105, -1.165951132774353]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
9,2669,3,"[0.3729414939880371, 0.23404885828495026]","[-0.32705849409103394, -0.465951144695282]","[-1.027058482170105, -1.165951132774353]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
9,2669,5,"[0.3729414939880371, 0.23404885828495026]","[-0.32705849409103394, -0.465951144695282]","[-1.027058482170105, -1.165951132774353]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,0
9,2590,1,"[0.37006866931915283, 0.36985155940055847]","[1.0700687170028687, 1.0698515176773071]","[1.770068645477295, 1.769851565361023]","[-0.7000000476837158, -0.6999999284744263]","[0.6999999284744263, 0.7000000476837158]",1,1
9,2590,3,"[0.37006866931915283, 0.36985155940055847]","[1.0700687170028687, 1.0698515176773071]","[1.770068645477295, 1.769851565361023]","[-0.7000000476837158, -0.6999999284744263]","[0.6999999284744263, 0.7000000476837158]",1,1
9,2590,5,"[0.37006866931915283, 0.36985155940055847]","[1.0700687170028687, 1.0698515176773071]","[1.770068645477295, 1.769851565361023]","[-0.7000000476837158, -0.6999999284744263]","[0.6999999284744263, 0.7000000476837158]",1,1
9,1688,1,"[2.819629192352295, 2.8984129428863525]","[2.119629144668579, 2.1984128952026367]","[1.4196290969848633, 1.498412847518921]","[0.7000000476837158, 0.7000000476837158]","[-0.7000000476837158, -0.7000000476837158]",-1,0
9,1688,3,"[2.819629192352295, 2.8984129428863525]","[2.119629144668579, 2.1984128952026367]","[1.4196290969848633, 1.498412847518921]","[0.7000000476837158, 0.7000000476837158]","[-0.7000000476837158, -0.7000000476837158]",-1,0
9,1688,5,"[2.819629192352295, 2.8984129428863525]","[2.119629144668579, 2.1984128952026367]","[1.4196290969848633, 1.498412847518921]","[0.7000000476837158, 0.7000000476837158]","[-0.7000000476837158, -0.7000000476837158]",-1,0
9,1600,1,"[-5.589387893676758, -5.540611743927002]","[-6.289388179779053, -6.240611553192139]","[-6.9893879890441895, -6.940611839294434]","[0.7000002861022949, 0.6999998092651367]","[-0.6999998092651367, -0.7000002861022949]",-1,0
9,1600,3,"[-5.589387893676758, -5.540611743927002]","[-6.289388179779053, -6.240611553192139]","[-6.9893879890441895, -6.940611839294434]","[0.7000002861022949, 0.6999998092651367]","[-0.6999998092651367, -0.7000002861022949]",-1,0
9,1600,5,"[-5.589387893676758, -5.540611743927002]","[-6.289388179779053, -6.240611553192139]","[-6.9893879890441895, -6.940611839294434]","[0.7000002861022949, 0.6999998092651367]","[-0.6999998092651367, -0.7000002861022949]",-1,0
9,1026,1,"[1.3513987064361572, 1.7146968841552734]","[0.6513986587524414, 1.0146968364715576]","[-0.04860130697488785, 0.31469687819480896]","[0.7000000476837158, 0.7000000476837158]","[-0.699999988079071, -0.6999999284744263]",-1,0
