state_dim,utility,utility_type,mechanism,heldout_match,far_ood_match,mean_nn_distance,total_capital_cost,parameter_cost_bytes,training_data_cost_bytes,inference_cost_ops,performance_per_byte
4,H_linear_2,linear,StandardizedKNNOutcomeTable,0.9983333333333333,1.0,2.2775578329960506,4988,0,4988,3480,0.00020014701951349905
4,H_linear_2,linear,PrototypeOutcomeTable,0.9983333333333333,1.0,2.2775578329960506,30200,0,8600,6000,3.3057395143487855e-05
4,H_linear_4,linear,AEPCompressor,0.9983333333333333,0.795,2.2775578329960506,79876,58276,0,0,1.2498539402740914e-05
4,H_linear_4,linear,ResidualCompressor,1.0,0.73,2.2775578329960506,62264,40664,0,0,1.606064499550302e-05
4,H_linear_4,linear,CounterfactualCompressor,0.065,0.3,2.2775578329960506,65964,44364,0,0,9.853859681038143e-07
4,H_linear_4,linear,PolicyClone,0.0033333333333333335,0.0,2.2775578329960506,44364,44364,0,0,7.513599615303701e-08
4,H_linear_4,linear,RawMemoryOutcomeTableFull,0.9983333333333333,1.0,2.2775578329960506,26588,0,4988,3480,3.754826738879695e-05
4,H_linear_4,linear,StandardizedKNNOutcomeTable,0.9983333333333333,1.0,2.2775578329960506,4988,0,4988,3480,0.00020014701951349905
4,H_linear_4,linear,PrototypeOutcomeTable,0.9983333333333333,1.0,2.2775578329960506,30200,0,8600,6000,3.3057395143487855e-05
4,H_linear_5,linear,AEPCompressor,0.9766666666666667,0.815,2.2775578329960506,79876,58276,0,0,1.2227285626053716e-05
4,H_linear_5,linear,ResidualCompressor,0.9716666666666667,0.73,2.2775578329960506,62264,40664,0,0,1.56055933872971e-05
4,H_linear_5,linear,CounterfactualCompressor,0.7616666666666667,0.64,2.2775578329960506,65964,44364,0,0,1.1546702241626746e-05
4,H_linear_5,linear,PolicyClone,0.7833333333333333,0.8,2.2775578329960506,44364,44364,0,0,1.7656959095963695e-05
4,H_linear_5,linear,RawMemoryOutcomeTableFull,0.9766666666666667,0.98,2.2775578329960506,26588,0,4988,3480,3.673336342209518e-05
4,H_linear_5,linear,StandardizedKNNOutcomeTable,0.9766666666666667,0.98,2.2775578329960506,4988,0,4988,3480,0.00019580326116011763
4,H_linear_5,linear,PrototypeOutcomeTable,0.9766666666666667,0.98,2.2775578329960506,30200,0,8600,6000,3.2339955849889626e-05
4,H_target_7,target,AEPCompressor,1.0,0.825,2.2775578329960506,79876,58276,0,0,1.25194050778707e-05
4,H_target_7,target,ResidualCompressor,1.0,0.75,2.2775578329960506,62264,40664,0,0,1.606064499550302e-05
