step,capital,action,oracle,correct,utility,regret
173,aep,0,0,1,-6.311586856842041,0.0
174,aep,1,2,0,-2.9994328022003174,1.0
175,aep,0,0,1,-4.978847503662109,0.0
176,aep,1,1,1,-5.159625053405762,0.0
177,aep,0,0,1,-6.121230602264404,0.0
178,aep,1,2,0,-2.441798210144043,1.0
179,aep,0,0,1,-4.505549907684326,0.0
180,aep,2,1,0,-3.357797145843506,1.0
181,aep,0,0,1,-3.0263075828552246,0.0
182,aep,1,1,1,-6.259737014770508,0.0
183,aep,0,0,1,-6.830992698669434,0.0
184,aep,1,1,1,-6.259737014770508,0.0
185,aep,0,0,1,-4.9841485023498535,0.0
186,aep,1,2,0,-2.947108745574951,1.0
187,aep,0,0,1,-4.0012311935424805,0.0
188,aep,1,2,0,-1.38761305809021,1.0
189,aep,0,0,1,-6.0090837478637695,0.0
190,aep,1,1,1,-6.066882610321045,0.0
191,aep,0,0,1,-8.667001724243164,0.0
192,aep,1,2,0,-2.7969539165496826,1.0
193,aep,0,0,1,-3.3372600078582764,0.0
194,aep,1,1,1,-5.4728827476501465,0.0
195,aep,0,0,1,-6.570256233215332,0.0
196,aep,1,1,1,-2.3636364936828613,0.0
197,aep,0,0,1,-2.931342124938965,0.0
198,aep,2,2,1,-5.619593620300293,0.0
199,aep,0,0,1,-4.419669151306152,0.0
0,res,1,2,0,-2.861992120742798,1.0
1,res,1,1,1,-3.1711461544036865,0.0
2,res,1,1,1,-5.383496284484863,0.0
3,res,1,1,1,-2.1876635551452637,0.0
4,res,1,1,1,-2.4405393600463867,0.0
5,res,2,2,1,-6.207993507385254,0.0
6,res,1,2,0,-2.861992120742798,1.0
7,res,2,2,1,-5.966738700866699,0.0
8,res,1,1,1,-5.425563812255859,0.0
9,res,1,1,1,-4.35452938079834,0.0
10,res,1,2,0,-2.133962869644165,1.0
11,res,1,2,0,-2.6939611434936523,1.0
12,res,1,1,1,-5.559378623962402,0.0
13,res,1,1,1,-4.506629943847656,0.0
14,res,1,1,1,-5.159625053405762,0.0
15,res,2,2,1,-2.7349495887756348,0.0
16,res,1,1,1,-7.3719482421875,0.0
17,res,1,1,1,-4.912177085876465,0.0
18,res,1,2,0,-2.1012685298919678,1.0
19,res,1,2,0,-1.8098658323287964,1.0
20,res,2,2,1,-3.29349422454834,0.0
21,res,1,1,1,-4.970658779144287,0.0
22,res,1,1,1,-5.93492317199707,0.0
23,res,1,2,0,-3.007373094558716,1.0
24,res,1,1,1,-5.3035197257995605,0.0
25,res,1,2,0,-2.9602975845336914,1.0
26,res,1,1,1,-5.832218170166016,0.0
27,res,1,1,1,-2.425523042678833,0.0
28,res,1,1,1,-6.060871124267578,0.0
29,res,1,1,1,-3.4037742614746094,0.0
30,res,1,2,0,-1.8098658323287964,1.0
31,res,1,1,1,-3.984785556793213,0.0
32,res,1,1,1,-4.35452938079834,0.0
33,res,1,1,1,-5.139995574951172,0.0
34,res,1,2,0,-2.385535717010498,1.0
35,res,1,1,1,-4.858737945556641,0.0
36,res,2,2,1,-6.207993507385254,0.0
37,res,1,1,1,-7.798065185546875,0.0
38,res,1,2,0,-2.3785386085510254,1.0
39,res,1,1,1,-7.912727355957031,0.0
40,res,1,2,0,-2.947108745574951,1.0
41,res,2,2,1,-5.229630947113037,0.0
42,res,1,2,0,-2.8613953590393066,1.0
43,res,1,1,1,-4.921736717224121,0.0
44,res,1,1,1,-4.742970943450928,0.0
45,res,1,1,1,-3.3108980655670166,0.0
46,res,1,1,1,-5.068070888519287,0.0
47,res,1,1,1,-4.198895454406738,0.0
48,res,1,2,0,-1.6650803089141846,1.0
49,res,1,1,1,-5.323714256286621,0.0
50,res,2,2,1,-5.229630947113037,0.0
51,res,1,2,0,-1.7482779026031494,1.0
52,res,2,2,1,-1.7974333763122559,0.0
53,res,1,2,0,-3.336913585662842,1.0
54,res,1,1,1,-6.259737014770508,0.0
55,res,2,2,1,-5.201759338378906,0.0
56,res,1,1,1,-6.060871124267578,0.0
57,res,1,1,1,-3.2571449279785156,0.0
58,res,1,1,1,-5.105923652648926,0.0
59,res,1,1,1,-6.066882610321045,0.0
60,res,1,2,0,-2.281838893890381,1.0
61,res,1,1,1,-5.105923652648926,0.0
62,res,1,2,0,-2.617987632751465,1.0
63,res,1,2,0,-2.875657558441162,1.0
64,res,2,2,1,-6.226901054382324,0.0
65,res,1,2,0,-2.869255781173706,1.0
66,res,1,2,0,-3.1758761405944824,1.0
67,res,1,1,1,-4.970658779144287,0.0
68,res,1,1,1,-6.904509544372559,0.0
69,res,1,2,0,-3.336913585662842,1.0
70,res,1,1,1,-6.609445571899414,0.0
71,res,1,1,1,-5.839378833770752,0.0
72,res,2,2,1,-3.8600716590881348,0.0
73,res,1,1,1,-4.912177085876465,0.0
74,res,1,1,1,-7.122551918029785,0.0
75,res,1,1,1,-6.107212066650391,0.0
76,res,1,1,1,-5.206290245056152,0.0
77,res,1,1,1,-3.984785556793213,0.0
78,res,1,1,1,-3.7825703620910645,0.0
79,res,2,2,1,-5.347565650939941,0.0
80,res,1,1,1,-4.906460762023926,0.0
81,res,1,1,1,-2.1876635551452637,0.0
82,res,1,1,1,-6.146119594573975,0.0
83,res,1,2,0,-3.2817461490631104,1.0
84,res,1,1,1,-7.131816864013672,0.0
85,res,1,2,0,-2.8613953590393066,1.0
86,res,1,2,0,-2.860800266265869,1.0
87,res,1,1,1,-5.014222145080566,0.0
