capital_0,capital_1,capital_2,capital_3,step
0.1784534,0.37208033,0.2622808,0.18718553,393
0.17701024,0.37715834,0.2601597,0.18567175,394
0.1770587,0.3772616,0.2599572,0.18572257,395
0.1753807,0.3831633,0.25749356,0.18396248,396
0.17509253,0.38417682,0.25707045,0.1836602,397
0.17667106,0.3786249,0.25938806,0.18531597,398
0.17493448,0.37942353,0.2599352,0.18570685,399
0.17502978,0.37908542,0.2600768,0.18580803,400
0.1772596,0.37117517,0.2633901,0.18817516,401
0.1759516,0.36843628,0.26144654,0.19416556,402
0.17956947,0.35545024,0.26682234,0.19815794,403
0.1783605,0.35305715,0.27175853,0.19682384,404
0.17877801,0.35154283,0.27239466,0.19728455,405
0.17976588,0.34795955,0.27389982,0.19837469,406
0.17649451,0.34934735,0.27499223,0.19916588,407
0.17433216,0.34506726,0.28387478,0.19672577,408
0.17569,0.33996612,0.28608584,0.19825803,409
0.17923945,0.32663152,0.29186562,0.20226343,410
0.18816172,0.32308078,0.2886928,0.20006466,411
0.18766093,0.32222095,0.28792447,0.20219366,412
0.19599332,0.31891584,0.28497118,0.20011972,413
0.19567141,0.31839204,0.2845031,0.20143348,414
0.19449654,0.31648034,0.28879914,0.20022403,415
0.1918802,0.31222308,0.28491423,0.21098252,416
0.19768263,0.30998126,0.2828685,0.20946763,417
0.20069075,0.2994813,0.28717285,0.21265507,418
0.20375142,0.28879794,0.29155245,0.2158982,419
0.20195244,0.28624806,0.28897825,0.22282124,420
0.20172359,0.2859237,0.28978395,0.22256875,421
0.19940437,0.2826364,0.2864523,0.23150694,422
0.20419028,0.28094682,0.28473988,0.230123,423
0.20632707,0.28388685,0.2877196,0.22206645,424
0.20786855,0.2785368,0.28986916,0.2237255,425
0.20985398,0.2716458,0.2926378,0.22586238,426
0.20388934,0.2736964,0.29484686,0.22756736,427
0.2020957,0.27128866,0.30105013,0.22556543,428
0.20253389,0.26970878,0.30170286,0.2260545,429
0.20248957,0.26964977,0.30163684,0.22622384,430
0.20319763,0.27059266,0.29919484,0.22701488,431
0.21018808,0.2682187,0.29656994,0.22502324,432
0.2102515,0.26819718,0.29654616,0.2250052,433
0.2070707,0.2692774,0.29774052,0.22591142,434
0.2049815,0.26656058,0.29473656,0.23372139,435
0.20215596,0.26288623,0.30445817,0.23049968,436
0.20155491,0.2621046,0.30355293,0.23278764,437
0.20260054,0.26346436,0.3051277,0.22880746,438
0.19932422,0.25920376,0.31636474,0.22510733,439
