step,task,reward_PolicyClone,reward_PrototypeOutcome,reward_AEP,reward_GoalInference,reward_SafeFallback,oracle_correct_set,oracle_set_size,strict_oracle_best_capital,strict_oracle_best_reward,BS_chosen,BS_reward,BS_in_oracle_set,BS_strict_hit,OH_chosen,OH_reward,LogisticRegressionSelector_chosen,LogisticRegressionSelector_reward,LogisticRegressionSelector_oracle_set_hit,LogisticRegressionSelector_strict_hit,RandomForestSelector_chosen,RandomForestSelector_reward,RandomForestSelector_oracle_set_hit,RandomForestSelector_strict_hit,MLPReportSelector_chosen,MLPReportSelector_reward,MLPReportSelector_oracle_set_hit,MLPReportSelector_strict_hit
412,Task_C,1.0,0.0,1.0,0.0,1.0,PolicyClone;AEP;SafeFallback,3,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
413,Task_C,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
414,Task_C,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
415,Task_C,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
416,Task_C,1.0,1.0,1.0,0.0,0.0,PolicyClone;PrototypeOutcome;AEP,3,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
417,Task_C,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
418,Task_C,1.0,0.0,1.0,0.0,1.0,PolicyClone;AEP;SafeFallback,3,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
419,Task_C,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
420,Task_C,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
421,Task_C,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
422,Task_C,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
423,Task_C,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
424,Task_C,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
425,Task_C,1.0,0.0,0.0,0.0,0.0,PolicyClone,1,PolicyClone,1.0,AEP,0.0,0,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
426,Task_C,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
427,Task_C,1.0,1.0,0.0,0.0,1.0,PolicyClone;PrototypeOutcome;SafeFallback,3,PolicyClone,1.0,AEP,0.0,0,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
428,Task_C,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
429,Task_C,1.0,0.0,1.0,0.0,1.0,PolicyClone;AEP;SafeFallback,3,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
430,Task_A,1.0,0.0,0.0,0.0,0.0,PolicyClone,1,PolicyClone,1.0,AEP,0.0,0,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
431,Task_A,0.0,1.0,1.0,0.0,0.0,PrototypeOutcome;AEP,2,PrototypeOutcome,1.0,AEP,1.0,1,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
432,Task_A,1.0,0.0,1.0,0.0,0.0,PolicyClone;AEP,2,PolicyClone,1.0,AEP,1.0,1,0,PolicyClone,1.0,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1,PolicyClone,1.0,1,1
433,Task_A,0.0,1.0,0.0,0.0,0.0,PrototypeOutcome,1,PrototypeOutcome,1.0,AEP,0.0,0,0,PrototypeOutcome,1.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
434,Task_A,0.0,0.0,0.0,0.0,0.0,NONE,0,SafeFallback,0.0,AEP,0.0,0,0,PolicyClone,0.0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0,PolicyClone,0.0,0,0
