budget_type,budget,n_clusters,mechanism,utility,utility_type,utility_complexity,match,stored_bytes
prototype,,100.0,PrototypeOutcomeTable,H_target_6,target,2,0.995,10800
prototype,,100.0,PrototypeOutcomeTable,H_target_7,target,2,1.0,10800
prototype,,100.0,PrototypeOutcomeTable,H_target_8,target,2,0.995,10800
prototype,,100.0,PrototypeOutcomeTable,H_target_9,target,2,0.585,10800
prototype,,100.0,PrototypeOutcomeTable,H_target_10,target,2,0.995,10800
prototype,,100.0,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.59,10800
prototype,,100.0,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.59,10800
prototype,,100.0,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0,10800
prototype,,250.0,PrototypeOutcomeTable,H_linear_0,linear,1,0.995,27000
prototype,,250.0,PrototypeOutcomeTable,H_linear_1,linear,1,1.0,27000
prototype,,250.0,PrototypeOutcomeTable,H_linear_2,linear,1,1.0,27000
prototype,,250.0,PrototypeOutcomeTable,H_linear_3,linear,1,1.0,27000
prototype,,250.0,PrototypeOutcomeTable,H_linear_4,linear,1,1.0,27000
prototype,,250.0,PrototypeOutcomeTable,H_linear_5,linear,1,0.985,27000
prototype,,250.0,PrototypeOutcomeTable,H_target_6,target,2,0.995,27000
prototype,,250.0,PrototypeOutcomeTable,H_target_7,target,2,1.0,27000
prototype,,250.0,PrototypeOutcomeTable,H_target_8,target,2,0.995,27000
prototype,,250.0,PrototypeOutcomeTable,H_target_9,target,2,0.555,27000
prototype,,250.0,PrototypeOutcomeTable,H_target_10,target,2,0.995,27000
prototype,,250.0,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.54,27000
prototype,,250.0,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.54,27000
prototype,,250.0,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0,27000
prototype,,500.0,PrototypeOutcomeTable,H_linear_0,linear,1,0.995,54000
prototype,,500.0,PrototypeOutcomeTable,H_linear_1,linear,1,1.0,54000
prototype,,500.0,PrototypeOutcomeTable,H_linear_2,linear,1,1.0,54000
prototype,,500.0,PrototypeOutcomeTable,H_linear_3,linear,1,1.0,54000
prototype,,500.0,PrototypeOutcomeTable,H_linear_4,linear,1,1.0,54000
prototype,,500.0,PrototypeOutcomeTable,H_linear_5,linear,1,0.99,54000
prototype,,500.0,PrototypeOutcomeTable,H_target_6,target,2,0.995,54000
prototype,,500.0,PrototypeOutcomeTable,H_target_7,target,2,1.0,54000
prototype,,500.0,PrototypeOutcomeTable,H_target_8,target,2,0.995,54000
prototype,,500.0,PrototypeOutcomeTable,H_target_9,target,2,0.59,54000
prototype,,500.0,PrototypeOutcomeTable,H_target_10,target,2,0.995,54000
prototype,,500.0,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.575,54000
prototype,,500.0,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.575,54000
prototype,,500.0,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0,54000
prototype,,1000.0,PrototypeOutcomeTable,H_linear_0,linear,1,0.995,108000
prototype,,1000.0,PrototypeOutcomeTable,H_linear_1,linear,1,1.0,108000
prototype,,1000.0,PrototypeOutcomeTable,H_linear_2,linear,1,1.0,108000
prototype,,1000.0,PrototypeOutcomeTable,H_linear_3,linear,1,1.0,108000
prototype,,1000.0,PrototypeOutcomeTable,H_linear_4,linear,1,1.0,108000
prototype,,1000.0,PrototypeOutcomeTable,H_linear_5,linear,1,0.98,108000
prototype,,1000.0,PrototypeOutcomeTable,H_target_6,target,2,0.995,108000
prototype,,1000.0,PrototypeOutcomeTable,H_target_7,target,2,1.0,108000
prototype,,1000.0,PrototypeOutcomeTable,H_target_8,target,2,0.995,108000
